"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Inquiry","37099","Cases to Estimate","0","Medium","V-DBO-QA","","012 : Database Operations","07/06/16 08:17 PM","012:Database Operations","V-DBO-QA","","","0","","0","0","","","","Active"
"Task","37387","VehicleCatalog.Chrome.Term","0","Medium","V-MAX-Architect","","012 : Database Operations","08/04/16 07:35 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Task","37478","Grant Mike Metterle and James Daniel read access to prod db","0","Medium","V-DataOps","","012 : Database Operations","08/16/16 08:20 PM","012:Database Operations","J. Travis Huber","","","0","","0","0","","","","Active (Needs Priority)"
"Task","37483","This is a test","0","Medium","V-DataOps","","012 : Database Operations","08/16/16 09:02 PM","012:Database Operations","Juliana Kennedy","","","0","","0","0","","","","Active (Needs Priority)"
"Inquiry","37530","Architecture Team Meeting","0","Medium","V-DBO-QA","","012 : Database Operations","08/19/16 04:40 PM","012:Database Operations","V-DBO-QA","","","0","","0","0","","","","Active"
"Inquiry","37719","RE: Data Normalization","0","Medium","V-DBO-QA","","012 : Database Operations","09/20/16 06:28 PM","012:Database Operations","V-DBO-QA","","","0","","0","0","","","","Active"
"Task","37896","Retention of historic CTR data in Merchandising DB","0","Medium","V-MAX-Architect","","012 : Database Operations","10/13/16 04:50 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Task","37897","MerchandisingAudit Database","0","Medium","V-MAX-Architect","","012 : Database Operations","10/13/16 07:06 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Task","37984","Move Merchandising.dbo.MiniProfilers* out of Merchandising to new database","0","Medium","V-MAX-Architect","","012 : Database Operations","10/27/16 08:38 PM","012:Database Operations","Bill Hummel","","","0","","0","0","","","","Active (Needs Priority)"
"Inquiry","38396","Post 29.2 Release Elmah Stats - Merchandising","0","Medium","V-DBO-QA","","012 : Database Operations","01/11/17 05:05 PM","012:Database Operations","V-DBO-QA","","","0","","0","0","","","","Active"
"Task","39066","Chrome Incentives: Shut Down the Chrome Incentives Load Job","0","Medium","Tim Muir","ChromeAIR","012 : Database Operations","04/25/17 11:32 PM","012:Database Operations","Tim Muir","","","0","Tim Muir","0","0","05/02/17 08:16 PM","","","Resolved (Verified)"
"Task","16403","Image URLs for Luther's RapidRecon Datafeed ","","Medium","Joy Wilson","","012 : Database Operations","06/20/11 08:25 PM","012:Database Operations","Chris Bennett","","","0","Devaraj Sundaram","0","0","06/11/12 08:46 PM","","","Resolved (Won't Complete)"
"Schedule Item","18574","Resend QuickTurn Dealer Sales File to Merkle","","Low","Joy Wilson","","012 : Database Operations","11/15/11 02:57 PM","012:Database Operations","Chris Bennett","","","0","Bill Hummel","0","0","05/21/12 09:32 PM","","","Resolved (Canceled)"
"Bug","18954","Market Listings Precision Record count does not match Listings displayed","","Low","V-DataOps","","012 : Database Operations","12/08/11 03:05 PM","012:Database Operations","Tom Callaghan","","","0","Bill Hummel","0","0","09/06/12 09:39 PM","","19226,","Resolved (Fixed)"
"Task","21969","Look for optimizations in BW migration sql","","High","Zac Brown","","012 : Database Operations","06/15/12 04:56 PM","012:Database Operations","Zac Brown","","","0","Jacob Solotaroff","4","4","12/13/12 11:19 PM","","","Resolved (Won't Complete)"
"Task","21970","Verify BW migration accuracy","","High","Zac Brown","","012 : Database Operations","06/15/12 05:00 PM","012:Database Operations","Zac Brown","","","0","Jacob Solotaroff","16","16","12/13/12 11:18 PM","","","Resolved (Won't Complete)"
"Task","22094","VehicleCatalog: Improve Mileage extraction logic in VehicleCatalog.Firstlook.LoadVehicleCatalog_FuelEconomy","","Medium","Elizabeth Wimmer","","012 : Database Operations","06/22/12 10:58 PM","012:Database Operations","Bill Hummel","","","0","Brad Fultz","2","2","02/10/14 07:35 PM","","","Resolved (Completed)"
"Task","23040","IMT.dbo.VehicleSaleCustomerDetail no longer used, can be dropped","","Medium","V-DataOps","dbo","012 : Database Operations","08/29/12 08:38 PM","012:Database Operations","Bill Hummel","","","0","Bill Hummel","0","0","06/01/15 05:17 PM","","","Resolved (Completed)"
"Project","24100","SF:70645, Request to manually add unit to GID file","","Medium","James Pluff","","012 : Database Operations","11/19/12 03:43 PM","012:Database Operations","James Pluff","70645","","0","Michael Leddon","0","0","09/24/13 07:10 PM","","","Resolved (Completed)"
"Bug","24456","Many SQL Timeouts are created around 8am everyday.","","Low","Darren Bokor","","012 : Database Operations","12/19/12 07:40 PM","012:Database Operations","Darren Bokor","","","0","Bill Hummel","0","0","09/03/14 06:42 PM","","","Resolved (Fixed)"
"Task","24721","Please Fix RIPA connections","","Medium","V-DataOps","dbo","012 : Database Operations","01/21/13 07:37 PM","012:Database Operations","Farooq Patel","","","0","Kris Franken","0","0","01/24/14 06:57 PM","","","Resolved (Completed)"
"Feature","25054","Take backups of all databases at once.","","Medium","Kris Franken","dbo","012 : Database Operations","02/15/13 03:05 PM","012:Database Operations","Brock Reeve","","","0","Bill Hummel","0","0","09/29/14 09:45 PM","","","Resolved (Implemented)"
"Inquiry","25074","Need a count of  market listings with $0 Internet Price","","Medium","Joy Wilson","dbo","012 : Database Operations","02/18/13 09:55 PM","012:Database Operations","Joy Wilson","","","0","Kris Franken","0","0","02/18/13 10:33 PM","","","Resolved (Responded)"
"Task","25080","SF:74503, Request to Add Vehicle Production Group Vehicles to GID File","","Medium","James Pluff","dbo","012 : Database Operations","02/19/13 10:28 PM","012:Database Operations","James Pluff","74503","","0","Bill Hummel","0","0","10/15/13 04:02 PM","","","Resolved (Completed)"
"Task","25381","Build tool to search if files went out","","Medium","V-DataOps","","012 : Database Operations","03/18/13 07:29 PM","012:Database Operations","Jacob Solotaroff","","","0","Kris Franken","0","0","01/24/14 06:56 PM","","","Resolved (Completed)"
"Task","25420","SF:75845, Request to Map Multiple Photo Import IDs","","Medium","James Pluff","dbo","012 : Database Operations","03/21/13 02:50 PM","012:Database Operations","James Pluff","","","0","Bill Hummel","0","0","04/23/15 08:03 PM","","","Resolved (Completed)"
"Task","25849","DBO: Create New DB Credentials for Elmah Error Logging Application","","Medium","V-MAX-Architect","","012 : Database Operations","04/23/13 06:06 PM","012:Database Operations","Tim Muir","","","0","","0","0","01/24/14 06:58 PM","04/29/15 07:51 PM","","Active (Needs Priority)"
"Task","26557","Analysis of package codes from R&R for Subaru","","Medium","Bill Hummel","orphaned","012 : Database Operations","06/20/13 02:50 PM","012:Database Operations","Devaraj Sundaram","","","0","Bill Hummel","0","0","03/05/15 08:30 PM","","","Resolved (Completed)"
"Project","26658","Hendrick Group Transfers Summary Report","","Medium","Elizabeth Wimmer","","012 : Database Operations","06/27/13 04:25 PM","012:Database Operations","Michael Leddon","","","0","Bill Hummel","0","0","05/30/14 06:17 PM","","","Resolved (Completed)"
"Project","26659","Transition Hendrick GID from eBIz to FL/MAX","","Medium","Michael Leddon","","012 : Database Operations","06/27/13 04:31 PM","012:Database Operations","Michael Leddon","","","0","Bill Hummel","0","0","04/23/15 08:16 PM","","","Resolved (Completed)"
"Project","26663","Redistribution By Group Report","","Medium","Michael Leddon","","012 : Database Operations","06/27/13 04:47 PM","012:Database Operations","Michael Leddon","","","0","Brad Fultz","0","0","07/22/13 02:58 PM","","","Resolved (Completed)"
"Task","26671","Start 16.0 database restores in beta before you leave today","","Medium","Michael Leddon","","012 : Database Operations","06/28/13 03:08 PM","012:Database Operations","Zac Brown","","","0","Bill Hummel","0","0","07/01/13 03:08 PM","","","Resolved (Completed)"
"Project","26677","(P) ADP Direct - Conversion from SIS","","High","Bill Hummel","","012 : Database Operations","06/28/13 05:08 PM","012:Database Operations","Michael Leddon","","","0","Bill Hummel","0","0","04/11/14 06:12 PM","","","Resolved (Completed)"
"Project","26678","Self Service Unwind Internal Users","","Medium","Michael Leddon","","012 : Database Operations","06/28/13 05:14 PM","012:Database Operations","Michael Leddon","","","0","Kris Franken","0","0","12/05/13 05:32 PM","","","Resolved (Completed)"
"Task","26708","Need a list of which VMs are running on the HyperV servers","","Medium","Michael Leddon","","012 : Database Operations","07/01/13 09:32 PM","012:Database Operations","Zac Brown","","","0","Kris Franken","0","0","03/09/15 09:05 PM","","","Resolved (Completed)"
"Task","27133","Herbie ""Tears"" processing ","","Medium","Bill Hummel","dbo","012 : Database Operations","08/06/13 02:08 PM","012:Database Operations","Devaraj Sundaram","","","0","Brad Fultz","0","0","08/22/14 06:14 PM","","","Resolved (Won't Complete)"
"Task","27178","Hendrick Closed Auction Report","","Medium","Michael Leddon","HAGTRACKER","012 : Database Operations","08/08/13 07:24 PM","012:Database Operations","Joy Wilson","","","0","Joy Wilson","0","0","08/12/13 09:16 PM","","","Resolved (Completed)"
"Feature","27194","Test delivery of Manheim data for Hendrick Dealer Auction Network","","Medium","Joy Wilson","","012 : Database Operations","08/08/13 10:03 PM","012:Database Operations","Joy Wilson","","","0","Joy Wilson","0","0","09/19/13 06:14 PM","","","Resolved (Implemented)"
"Task","27233","Modification to QA.dbo.DealerStats to include DatafeedCode","","Medium","Bill Hummel","dbo","012 : Database Operations","08/13/13 09:46 PM","012:Database Operations","Juliana Kennedy","","","0","Bill Hummel","0","0","10/15/13 07:18 PM","","","Resolved (Completed)"
"Internal Defect","27384","Seem to lose auction data in intdb01 whenever db builder is run","","Medium","V-DataOps","dbo","012 : Database Operations","08/27/13 07:40 PM","012:Database Operations","Jen Domonkos","","","0","Bill Hummel","0","0","08/28/13 02:56 PM","","","Resolved (Fixed)"
"Task","27401","Review jobs on PRODAUX01 and FTPSERVER and update credentials to service accounts","","Medium","Kris Franken","dbo","012 : Database Operations","08/29/13 03:09 PM","012:Database Operations","Bill Hummel","","","0","Bill Hummel","4","4","12/19/13 10:02 PM","","","Resolved (Completed)"
"Bug","27422","SF:82517, 2014 Honda Accords Not Decoding in MAX","","Medium","Bill Hummel","","012 : Database Operations","08/30/13 05:46 PM","012:Database Operations","Chris Fant","82517","","0","Bill Hummel","8","8","02/12/16 03:17 PM","","","Resolved (Fixed)"
"Bug","27423","SF:82458, 2013 BMW X1's dublicating trims","","Medium","Bill Rogalla","","012 : Database Operations","08/30/13 05:53 PM","012:Database Operations","Chris Fant","82458","","0","","0","0","10/10/13 10:16 PM","10/11/13 02:08 PM","","Active (Needs Priority)"
"Task","27546","Remove Regional references from trim names","","Medium","Michael Leddon","","012 : Database Operations","09/12/13 03:44 PM","012:Database Operations","Michelle Clay","","","0","Bill Hummel","0","0","09/03/14 07:01 PM","","24528,27100,27968,","Resolved (Completed)"
"Task","28165","SF:84236, DMS Data Pull","","High","Bill Hummel","dbo","012 : Database Operations","11/11/13 03:45 PM","012:Database Operations","Ben Piskor","84236","","0","Juliana Kennedy","0","0","05/28/15 05:29 PM","","","Resolved (Won't Complete)"
"Task","28375","Top 10 zip codes with highest density of dealers","","Medium","Bill Hummel","","012 : Database Operations","12/05/13 02:57 PM","012:Database Operations","Devaraj Sundaram","","","0","Michael Leddon","0","0","12/11/13 09:31 PM","","","Resolved (Completed)"
"Inquiry","28437","please delete bad bucket threshold settings data in beta","","Medium","Kris Franken","dbo","012 : Database Operations","12/10/13 08:11 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","12/10/13 08:59 PM","","","Resolved (Responded)"
"Task","28510","Get CDC running in Beta and INT","","Medium","Bill Hummel","","012 : Database Operations","12/16/13 09:23 PM","012:Database Operations","Brock Reeve","","","0","Becky Song","0","0","02/17/14 09:01 PM","","","Resolved (Completed)"
"Inquiry","28513","Request to Turn on Stock Images- Marquardt of Barrington","","Medium","Kris Franken","","012 : Database Operations","12/17/13 03:39 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","12/17/13 04:10 PM","","","Resolved (Responded)"
"Inquiry","28525","SF:87106, Market Listings- low total counts compared to what's on AT and Cars.com","","Medium","Bill Hummel","","012 : Database Operations","12/18/13 06:22 PM","012:Database Operations","Paco Lebron","","","0","Michael Leddon","0","0","02/14/14 07:08 PM","","","Resolved (Responded)"
"Task","28526","Test the new herbie feed","","Medium","Bill Hummel","","012 : Database Operations","12/18/13 07:12 PM","012:Database Operations","Devaraj Sundaram","","","0","Michael Leddon","0","0","02/14/14 07:18 PM","","","Resolved (Completed)"
"Inquiry","28533","Enable Stock Photos - BUID: 106674 and 106586","","Medium","Kris Franken","","012 : Database Operations","12/19/13 03:44 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","12/19/13 05:06 PM","","","Resolved (Responded)"
"Task","28555","Import GID file from ebiz","","High","Michael Leddon","","012 : Database Operations","12/20/13 04:45 PM","012:Database Operations","Zac Brown","","","0","Bill Hummel","0","0","05/12/14 09:23 PM","","","Resolved (Completed)"
"Task","28735","OVE-Hendrick:  Integrate AULtec image URLs for selected Hendrick dealers","","Medium","Bill Hummel","dbo","012 : Database Operations","01/14/14 04:52 PM","012:Database Operations","Bill Hummel","","","0","Bill Hummel","2","2","01/16/14 02:09 PM","","28736,","Resolved (Completed)"
"Bug","28780","SF:87965, PING ISSUES AGAIN - Rodman Ford - INCORRCT AGE ONLINE","","Medium","Paco Lebron","","012 : Database Operations","01/17/14 10:20 PM","012:Database Operations","Paco Lebron","","","0","Brad Fultz","0","0","02/19/14 01:14 PM","","","Resolved (Fixed)"
"Task","28808","Disable Herbie in production","","Medium","Bill Hummel","","012 : Database Operations","01/22/14 10:47 PM","012:Database Operations","Jen Domonkos","","","0","Michael Leddon","0","0","01/24/14 05:10 PM","","","Resolved (Completed)"
"Task","29054","Enable regular loading of Manheim auction data to beta","","Medium","Bill Hummel","","012 : Database Operations","02/06/14 09:26 PM","012:Database Operations","Jen Domonkos","","","0","Bill Hummel","0","0","02/07/14 10:06 PM","02/06/14 10:21 PM","","Resolved (Completed)"
"Task","29238","PREPRODDB01 Backups","","Medium","Kris Franken","","012 : Database Operations","02/21/14 12:36 AM","012:Database Operations","Bill Hummel","","","0","Kris Franken","0","0","04/25/14 06:29 PM","","","Resolved (Completed)"
"Task","29287","Re-enable schedule for Update System Metrics for Sales Force job","","Medium","V-DataOps","dbo","012 : Database Operations","02/27/14 03:55 PM","012:Database Operations","Jen Domonkos","","","0","Kris Franken","0","0","02/27/14 04:05 PM","","","Resolved (Completed)"
"Inquiry","29567","ADP Integration:  Add Schedule to Extract Sales History","","Medium","V-DBO-Backlog","dbo","012 : Database Operations","04/07/14 10:09 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","05/23/14 05:15 PM","","","Resolved (Responded)"
"Task","29570","Need job to insert into MMR Queue when inventory created, reactivated or mileage updated","","Medium","V-DataOps","","012 : Database Operations","04/08/14 05:19 PM","012:Database Operations","Jen Domonkos","","","0","Kris Franken","0","0","04/25/14 06:28 PM","","","Resolved (Completed)"
"Feature","29818","Add ""certified program"" to eBiz GID export","","Medium","Zac Brown","","012 : Database Operations","05/02/14 03:17 PM","012:Database Operations","Zac Brown","","","0","Bill Hummel","0","0","07/24/14 08:04 PM","","","Resolved (Implemented)"
"Task","29822","create dms file alert rpt for Tulley","","Medium","Elizabeth Wimmer","","012 : Database Operations","05/02/14 05:29 PM","012:Database Operations","Elizabeth Wimmer","","","0","Elizabeth Wimmer","0","0","05/14/14 10:14 PM","","","Resolved (Completed)"
"Task","29829","work with eBiz on the delay from our export to when it shows up in the recon file","","Medium","Bill Hummel","","012 : Database Operations","05/03/14 12:07 AM","012:Database Operations","Chad L Sosna","","","0","Kris Franken","0","0","07/31/14 06:59 PM","","","Resolved (Completed)"
"Task","29923","Job Defrag ""Complete-Daily"" databases blocking Market et al 20140514 10pm","","Medium","Kris Franken","","012 : Database Operations","05/15/14 03:23 AM","012:Database Operations","Bill Hummel","","","0","Bill Hummel","0","0","07/28/14 10:33 PM","","","Resolved (Completed)"
"Task","29948","Request to Add Groove Subaru to BCIT Feed","","Medium","Kris Franken","dbo","012 : Database Operations","05/16/14 02:26 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","05/23/14 05:31 PM","","","Resolved (Completed)"
"Inquiry","29965","SF 94196- Request to Blow Out All Images in IMT","","Medium","James Pluff","","012 : Database Operations","05/19/14 08:00 PM","012:Database Operations","V-DBO-ERequests","","","0","Bill Hummel","0","0","05/22/14 10:04 PM","05/19/14 09:29 PM","","Resolved (Responded)"
"Task","30009","SQL Server 2012/14 Upgrade Effort Analysis","","Medium","Kris Franken","","012 : Database Operations","05/22/14 07:16 PM","012:Database Operations","Michael Leddon","","","0","Bill Hummel","0","0","04/23/15 08:02 PM","","","Resolved (Completed)"
"Task","30022","Luther recon data from Aultec","","Medium","Elizabeth Wimmer","","012 : Database Operations","05/23/14 06:29 PM","012:Database Operations","Elizabeth Wimmer","","","0","Elizabeth Wimmer","0","0","06/13/14 07:06 PM","","","Resolved (Completed)"
"Internal Task","30049","Begin replicating certain data to read-only slave server","","Medium","Zac Brown","dbo","012 : Database Operations","05/28/14 04:27 PM","012:Database Operations","Zac Brown","","","0","Bill Hummel","0","0","06/01/15 08:10 PM","","","Resolved (Completed)"
"Inquiry","30249","Kenny Ross Group","","Medium","V-DBO-ERequests","","012 : Database Operations","06/11/14 12:07 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","04/23/15 07:50 PM","","","Resolved (Responded)"
"Task","30279","Cleanup of old data in Distribution schema","","Medium","Kris Franken","","012 : Database Operations","06/12/14 02:07 PM","012:Database Operations","Jen Domonkos","","","0","Kris Franken","0","0","07/10/14 02:53 PM","","","Resolved (Completed)"
"Task","30299","Change timing/optimizations for market defrag that runs at 10:15 pm...","","Medium","Bill Hummel","dbo","012 : Database Operations","06/13/14 05:03 PM","012:Database Operations","Jen Domonkos","","","0","Jen Domonkos","0","0","07/15/14 04:00 PM","","","Resolved (Completed)"
"Task","30306","Discrepancy in DaysToSale","","Medium","Bill Hummel","","012 : Database Operations","06/16/14 03:31 PM","012:Database Operations","Jen Domonkos","","","0","Brad Fultz","0","0","08/22/14 06:12 PM","","","Resolved (Completed)"
"Task","30331","SF:95495, Certification Flags and Program Description export subscription request (Whole Group)","","Medium","Kris Franken","dbo","012 : Database Operations","06/18/14 03:00 PM","012:Database Operations","Derek Zehar","95495","","0","Kris Franken","0","0","05/14/15 05:08 PM","","","Resolved (Completed)"
"Task","30388","SF:95705, Ping II market pricing analyzer - incorrect","","Medium","Michael Leddon","","012 : Database Operations","06/23/14 08:54 PM","012:Database Operations","Derek Zehar","95705","","0","Bill Hummel","0","0","09/03/14 06:55 PM","","","Resolved (Completed)"
"Task","30431","Look for Lot Location Lock","","Medium","Bill Hummel","","012 : Database Operations","06/27/14 01:32 AM","012:Database Operations","Austin Kairis","","","0","Bill Hummel","0","0","08/11/14 04:47 PM","","","Resolved (Completed)"
"Inquiry","30509","Request to Modify the Liquid Motors Photo Datafeeder Schedule","","Medium","V-DBO-QA","","012 : Database Operations","07/10/14 02:31 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","07/10/14 02:43 PM","","","Resolved (Responded)"
"Inquiry","30526","Request to Modify The Nexteppe Photo Datafeeder Schedule","","Medium","V-DBO-QA","","012 : Database Operations","07/11/14 02:30 PM","012:Database Operations","V-DBO-ERequests","","","0","Kris Franken","0","0","07/11/14 02:53 PM","","","Resolved (Responded)"
